ins,shares,plate
IBRX,945254685,health_care
HUBG,61219580,industrials
VICR,44919264,technology
IRDM,106113917,telecommunications
OSW,102697235,consumer_discretionary
DNLI,146212278,health_care
EFSC,36987916,finance
ADAMM,90313984,real_estate
BUSEP,89065910,finance
AMSC,45160925,consumer_discretionary
PINC,82549641,consumer_discretionary
PAX,158075392,finance
BUSE,89065909,finance
SHOO,72652392,consumer_discretionary
OCUL,173995221,health_care
GLPG,65897070,health_care
LMAT,22637522,health_care
LFST,388936393,health_care
COCO,56822981,consumer_staples
BLTE,32281762,health_care
PRDO,64953379,real_estate
PSNY,2110354571,industrials
PRCT,55635941,health_care
PTEN,385167501,energy
IRON,34765581,health_care
FORTY,15317667,technology
CENTA,62871072,consumer_discretionary
TMC,406392921,basic_materials
EVCM,181278754,technology
UPWK,132606579,technology
IOSP,24833160,industrials
AGIO,58101517,health_care
VITL,44685980,consumer_staples
JJSF,19467715,consumer_staples
ADUS,18407238,health_care
NN,133130566,industrials
ACHC,92346592,health_care
ARQT,119905078,health_care
VNET,269025901,technology
ANIP,21699635,health_care
AVDX,207698752,technology
HRMY,57532601,health_care
FIVN,77262689,technology
IDYA,87643686,health_care
METC,78536223,energy
HWCPZ,84754978,finance
SKWD,40486656,finance
CENX,93339120,industrials
CHA,118275784,consumer_discretionary
UMBFO,75928254,finance
TRIP,116133591,technology
BEAM,101162025,health_care
RXRX,434151535,health_care
